Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"1,200,000",13,3 BEDROOM FLAT / APARTMENT FOR RENT,Off Blenco Supermarket Peninsula Estate Ajah Lagos,Luxury 3 Bedroom Flat with Excellent Finishing in a Serene Neighbourhood ,3 beds,3 baths,4 Toilets
"1,200,000",6,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Marina Marina Lagos Island Lagos,Room rooms office use marina , beds, baths, Toilets
"1,500,000",8,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Off Admiralty way Lekki Phase 1 Lekki Lagos,Spacious 1 Bedroom Apartment With Big Kitchen,1 beds,1 baths,1 Toilets
"3,000,000",10,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Ikota Lekki Lagos,A Brand New 4 Bedroom Terrace.,4 beds,4 baths,4 Toilets
"1,800,000",5,CHURCH COMMERCIAL PROPERTY FOR RENT,Off Isaac John Fadeyi Shomolu Lagos,Warehouse Office Space For Church, beds, baths, Toilets
"3,000,000",12,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Immaculate estate Gbagada Lagos,Brand New 2 Units Of 5 Bedroom And 2 Units Of 6 Bedroom Semi Serviced Terrace Duplex For Rent At Gbagada ,5 beds, baths, Toilets
"650,000",18,3 BEDROOM FLAT / APARTMENT FOR RENT,Shagari Estate Ipaja Lagos,Nice And Newly Renovated 3 Bedroom Apartment For Rent At Shagari Estate. Ipaja ,3 beds,3 baths, Toilets
"1,400,000",23,3 BEDROOM FLAT / APARTMENT FOR RENT,Happy Land Estate Ajah Lagos,Newly Built Luxury 3 Bedroom Flat with Excellent Finishing in a Serene Neighbourhood ,3 beds,3 baths,4 Toilets
"4,000,000",1,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,"Sabo, Yaba ( Close to Ozone Cinemas) Sabo Yaba Lagos",4 Bedroom Fully Detached Duplex + 2 Rooms Bq,4 beds,4 baths,5 Toilets
"450,000",6,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Off Lawanson road Lawanson Surulere Lagos,Renovated Miniflat Upstairs,1 beds,1 baths,1 Toilets
"600,000",3,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Abuleoja yaba Abule Oja Yaba Lagos,Standard Spacious Newly Built Miniflat At Yaba,1 beds,2 baths,2 Toilets
"3,000,000",7,2 BEDROOM FLAT / APARTMENT FOR RENT, Oniru Victoria Island Lagos,A Fully serviced 2 bedroom apartment ,2 beds,2 baths,2 Toilets
